food,Caloric_Value,Fat,Saturated_Fats,Monounsaturated_Fats,Polyunsaturated_Fats,Carbohydrates,Sugars,Protein,Dietary_Fiber,Cholesterol,Sodium,Water,Vitamin_A,Vitamin_B1,Vitamin_B11,Vitamin_B12,Vitamin_B2,Vitamin_B3,Vitamin_B5,Vitamin_B6,Vitamin_C,Vitamin_D,Vitamin_E,Vitamin_K,Calcium,Copper,Iron,Magnesium,Manganese,Phosphorus,Potassium,Selenium,Zinc,Nutrition_Density,Protein_ratio,Fat_ratio,Carbohydrates_ratio,Calorie_Density,Health_Score,Food_Category
baked beans canned,239.0,0.9,0.2,0.2,0.3,53.7,20.2,12.1,10.4,0.0,0.9,182.9,0.0,0.2,0.036,0.0,0.078,1.1,0.5,0.2,0.0,0.0,0.4,0.019,86.4,0.4,3.0,68.6,0.3,188.0,569.0,0.082,5.8,166.5,18.14,1.35,80.51,2.39,-1.5,High_Carb
cranberry beans canned,216.0,0.7,0.2,0.083,0.3,39.3,0.0,14.4,16.4,0.0,0.9,201.7,0.0,0.1,0.2,0.0,0.1,1.3,0.4,0.1,2.1,0.0,0.0,0.0,88.4,0.4,4.0,83.2,0.5,223.6,676.0,0.079,2.2,165.3,26.47,1.29,72.24,2.16,52.7,High_Carb
black beans cooked,227.0,0.9,0.2,0.02,0.4,40.8,0.0,15.2,15.0,0.0,0.008,113.1,0.0,0.4,0.3,0.0,0.1,0.9,0.4,0.1,0.0,0.0,1.5,0.081,46.4,0.4,3.6,120.4,0.8,240.8,610.6,0.004,1.9,121.9,26.71,1.58,71.7,2.27,52.0,High_Carb
lima beans cooked,216.0,0.7,0.2,0.022,0.3,39.3,5.5,14.7,13.2,0.0,0.012,131.2,0.0,0.0,0.3,0.2,0.0,0.1,0.8,0.8,0.3,0.0,0.0,0.3,0.052,32.0,0.4,4.5,80.8,1.0,208.7,955.0,0.027,68.6,26.87,1.28,71.85,2.16,37.5,High_Carb
fava beans canned,182.0,0.6,0.092,0.1,0.2,31.8,0.0,14.0,9.5,0.0,1.2,205.6,0.0,0.016,0.05,0.0,0.1,2.5,0.3,0.1,4.6,0.0,0.0,0.0,66.6,0.3,2.6,81.9,0.7,202.2,619.5,0.029,1.6,129.7,30.17,1.29,68.53,1.82,41.65,High_Carb
pigeon peas cooked,203.0,0.6,0.1,0.05,0.3,39.1,0.0,11.4,11.3,0.0,0.036,115.2,0.0,0.2,0.2,0.0,0.02,1.3,0.5,0.081,0.0,0.0,0.0,0.0,72.2,0.5,1.9,77.3,0.8,199.9,645.1,0.01,1.5,136.5,22.31,1.17,76.52,2.03,39.15,High_Carb
navy beans cooked,255.0,1.1,0.2,0.3,0.9,47.4,0.7,15.0,19.1,0.0,0.4,116.1,0.0,0.4,0.3,0.0,0.1,1.2,0.5,0.3,0.0,0.0,0.08,0.002,125.6,0.4,4.3,96.5,1.0,262.1,708.0,0.012,1.9,212.5,23.62,1.73,74.65,2.55,56.15,High_Carb
mothbeans cooked,207.0,1.0,0.2,0.062,0.5,37.1,0.0,13.8,0.0,0.0,0.086,122.5,0.0,0.2,0.3,0.0,0.088,1.2,0.7,0.2,1.8,0.0,0.0,0.0,5.3,0.3,5.6,184.1,0.9,265.5,538.1,0.034,1.0,64.6,26.59,1.93,71.48,2.07,26.6,High_Carb
french beans cooked,228.0,1.3,0.1,0.046,0.8,42.5,0.0,12.5,16.6,0.0,0.003,117.8,0.0,0.0,0.2,0.1,0.0,0.1,1.0,0.4,0.2,2.1,0.0,0.0,0.0,111.5,0.2,1.9,99.1,0.7,180.5,654.9,0.041,73.3,22.2,2.31,75.49,2.28,48.6,High_Carb
adzuki beans cooked,294.0,0.2,0.067,0.021,0.024,57.0,0.0,17.3,16.8,0.0,0.079,152.5,0.0,0.0,0.3,0.3,0.0,0.1,1.6,1.0,0.2,0.0,0.0,0.0,0.0,64.4,0.7,4.6,119.6,1.3,386.4,1223.6,0.022,92.2,23.22,0.27,76.51,2.94,59.6,High_Carb
catjang cowpeas cooked,200.0,1.2,0.3,0.1,0.5,34.7,0.0,13.9,6.2,0.0,0.021,119.2,0.0,0.0,0.3,0.2,0.0,0.055,1.2,0.7,0.2,0.7,0.0,0.0,0.0,44.5,0.5,5.2,164.2,0.8,242.8,641.3,0.045,56.7,27.91,2.41,69.68,2.0,35.9,High_Carb
baby lima beans cooked,189.0,0.5,0.1,0.06,0.3,35.0,2.5,12.0,10.8,0.0,0.064,130.2,0.0,0.0,0.1,0.003,0.0,0.097,1.4,0.3,0.2,10.4,0.0,1.2,0.06,50.4,0.4,3.5,100.8,1.5,201.6,739.8,0.079,58.952,25.26,1.05,73.68,1.89,34.7,High_Carb
pinto beans canned,197.0,1.3,0.3,0.3,0.5,36.4,2.4,11.0,11.0,0.0,0.6,187.7,0.0,0.1,0.03,0.0,0.063,0.6,0.3,0.2,1.7,0.0,1.4,0.09,112.8,0.4,3.5,79.2,0.8,220.8,662.4,0.0,1.3,177.7,22.59,2.67,74.74,1.97,32.4,High_Carb
chickpeas cooked,269.0,4.2,0.4,1.0,1.9,45.0,7.9,14.5,12.5,0.0,0.08,98.7,0.0,0.2,0.3,0.0,0.1,0.9,0.5,0.2,2.1,0.0,0.6,0.024,80.4,0.6,4.7,78.7,1.7,275.5,477.2,0.031,2.5,163.4,22.76,6.59,70.64,2.69,27.75,High_Carb
mungo beans cooked,189.0,1.0,0.065,0.001,0.6,33.0,3.6,13.6,11.5,0.0,0.083,130.5,0.0,0.3,0.2,0.0,0.1,2.7,0.8,0.1,1.8,0.0,0.3,0.092,95.4,0.3,3.2,113.4,0.7,280.8,415.8,0.042,1.5,159.5,28.57,2.1,69.33,1.89,36.25,High_Carb
yardlong beans cooked,202.0,0.8,0.2,0.027,0.3,36.1,0.0,14.2,6.5,0.0,0.059,117.6,0.0,0.0,0.4,0.2,0.0,0.1,0.9,0.7,0.2,0.7,0.0,0.0,0.0,71.8,0.4,4.5,167.6,0.8,309.5,538.7,0.012,58.2,27.79,1.57,70.65,2.02,37.35,High_Carb
meat extender,275.0,2.6,0.4,0.6,1.5,33.7,0.0,33.5,15.4,0.0,0.041,6.6,0.0,0.6,0.2,0.065,0.8,19.4,1.3,1.2,0.0,0.0,0.0,0.0,179.5,0.3,10.6,190.1,0.2,562.3,1673.8,0.038,1.9,275.3,47.99,3.72,48.28,2.75,87.5,High_Protein
lamb loin cooked,202.0,14.8,6.3,6.2,1.1,0.0,0.0,16.1,0.0,64.0,0.089,33.0,0.0,0.034,0.003,0.014,0.2,4.5,0.4,0.013,0.0,0.024,0.087,0.062,12.8,0.068,1.2,15.4,0.09,125.4,209.3,0.039,2.2,44.9,52.1,47.9,0.0,2.02,17.4,High_Protein
beef rib roasted,238.0,19.1,7.7,8.2,0.7,0.0,0.0,15.4,0.0,57.0,0.01,32.0,0.0,0.049,0.075,0.031,0.1,2.5,0.2,0.2,0.0,0.037,0.2,0.015,6.7,0.086,1.6,13.4,0.062,115.9,196.3,0.01,3.9,42.8,44.64,55.36,0.0,2.38,11.7,High_Protein
mock tender steak raw,244.0,8.3,3.6,4.3,0.7,0.0,0.0,42.2,0.0,132.7,0.2,145.9,0.069,0.2,0.085,0.011,0.4,7.1,1.7,0.8,0.0,0.055,0.4,0.099,21.8,0.2,4.8,49.5,0.087,445.5,685.1,0.032,15.8,77.128,83.56,16.44,0.0,2.44,76.1,High_Protein
mock tender steak cooked,137.0,4.9,1.5,2.3,0.3,0.0,0.0,21.9,0.0,55.3,0.028,55.7,0.0,0.09,0.025,0.063,0.2,3.1,0.0,0.3,0.0,0.0,0.1,0.0,6.8,0.1,2.6,19.6,0.0,198.9,249.1,0.073,6.7,36.2,81.72,18.28,0.0,1.37,38.9,High_Protein
beef top blade cooked,184.0,10.0,3.3,4.6,0.4,0.0,0.0,21.9,0.0,51.9,0.002,52.3,0.0,0.1,0.016,0.095,0.2,3.2,0.8,0.3,0.0,0.0,0.1,0.0,6.0,0.057,2.3,20.4,0.0,181.9,254.2,0.098,7.4,40.2,68.65,31.35,0.0,1.84,33.8,High_Protein
beef shoulder steak grilled,155.0,5.8,2.5,3.0,0.6,0.0,0.0,24.0,0.0,68.9,0.014,54.4,0.063,0.083,0.043,0.055,0.2,4.7,0.7,0.6,0.0,0.012,0.072,0.067,10.2,0.056,2.5,21.3,0.03,208.3,311.1,0.084,6.8,42.589,80.54,19.46,0.0,1.55,42.2,High_Protein
porterhouse steak cooked,235.0,16.4,6.2,7.4,0.6,0.0,0.0,20.4,0.0,57.0,0.085,46.5,0.0,0.099,0.069,0.024,0.2,3.6,0.3,0.3,0.0,0.0,0.2,0.0,6.0,0.1,2.5,18.7,0.095,164.1,254.2,0.087,3.9,45.3,55.43,44.57,0.0,2.35,24.4,High_Protein
pastrami beef,104.0,4.1,1.9,1.5,0.1,0.3,0.08,15.5,0.0,48.3,0.8,49.4,0.0,0.084,0.031,0.072,0.1,3.0,0.2,0.2,0.2,0.09,0.085,0.038,7.1,0.024,1.6,12.1,0.048,124.3,149.1,0.075,3.5,28.8,77.89,20.6,1.51,1.04,26.74,High_Protein
lebanon bologna,98.0,6.0,1.6,2.5,0.1,0.3,0.0,10.8,0.0,31.4,0.8,37.5,0.052,0.066,0.024,0.093,0.051,1.8,0.2,0.2,0.5,0.065,0.3,0.073,11.4,0.093,1.2,11.4,0.002,109.4,188.1,0.059,2.2,30.243,63.16,35.09,1.75,0.98,15.6,High_Protein
ground emu cooked,178.0,5.1,1.4,2.1,0.7,0.0,0.0,31.0,0.0,94.8,0.025,71.8,0.2,0.0,0.3,0.038,0.014,0.6,9.7,3.4,0.9,0.0,0.0,0.3,0.044,8.7,0.3,5.5,31.6,0.085,293.2,408.8,0.044,37.595,85.87,14.13,0.0,1.78,56.9,High_Protein
ostrich leg raw,94.0,1.5,0.5,0.5,0.3,0.0,0.0,19.0,0.0,56.1,0.067,64.6,0.0,0.2,0.034,0.097,0.3,4.1,1.0,0.4,0.0,0.0,0.2,0.0,4.3,0.1,2.0,18.7,0.06,187.0,272.0,0.026,3.3,26.8,92.68,7.32,0.0,0.94,36.5,High_Protein
ostrich strip raw,108.0,2.4,0.8,1.0,0.5,0.0,0.0,20.1,0.0,62.1,0.086,63.0,0.0,0.2,0.011,0.03,0.3,4.4,1.1,0.5,0.0,0.0,0.2,0.0,4.3,0.1,3.6,19.6,0.088,192.1,280.5,0.005,3.4,30.4,89.33,10.67,0.0,1.08,37.8,High_Protein
ostrich tenderloin raw,105.0,2.7,1.0,1.0,0.6,0.0,0.0,18.8,0.0,68.0,0.005,63.3,0.0,0.2,0.1,0.049,0.2,4.1,1.0,0.4,0.0,0.0,0.2,0.0,5.1,0.1,4.1,18.7,0.019,187.0,272.0,0.087,3.3,30.7,87.44,12.56,0.0,1.05,34.9,High_Protein
ground emu raw,157.0,4.7,1.2,1.9,0.7,0.0,0.0,26.6,0.0,80.7,0.062,85.3,0.0,0.3,0.073,0.051,0.5,8.8,3.2,0.8,0.0,0.0,0.3,0.0,8.2,0.2,4.7,28.1,0.02,259.7,374.4,0.061,4.1,44.2,84.98,15.02,0.0,1.57,48.5,High_Protein
ground ostrich raw,180.0,9.5,2.4,2.9,1.0,0.0,0.0,22.0,0.0,77.4,0.021,77.5,0.0,0.2,0.071,0.032,0.3,4.8,1.2,0.5,0.0,0.0,0.3,0.0,7.6,0.1,3.2,21.8,0.025,216.9,317.2,0.067,3.8,42.3,69.84,30.16,0.0,1.8,34.5,High_Protein
ostrich tip cooked,123.0,2.2,0.9,0.8,0.4,0.0,0.0,24.2,0.0,72.3,0.086,58.2,0.0,0.2,0.02,0.077,0.2,6.1,1.1,0.5,0.0,0.0,0.2,0.0,5.1,0.1,2.4,21.3,0.013,213.4,307.7,0.019,4.1,33.9,91.67,8.33,0.0,1.23,46.2,High_Protein
caribou cooked,210.0,6.4,2.5,2.0,1.0,0.0,0.0,38.0,0.0,141.2,0.004,86.4,0.1,0.4,0.055,0.032,1.1,7.8,2.0,0.5,0.0,0.0,1.2,0.009,6.6,0.4,6.3,31.7,0.049,283.8,323.4,0.073,5.7,57.4,85.59,14.41,0.0,2.1,69.6,High_Protein
ground ostrich cooked,163.0,6.6,1.7,2.0,0.7,0.0,0.0,24.3,0.0,77.2,0.099,62.4,0.2,0.0,0.2,0.045,0.044,0.2,6.1,1.1,0.5,0.0,0.033,0.2,0.0,7.4,0.1,3.2,21.4,0.076,208.3,300.4,0.033,31.712,78.64,21.36,0.0,1.63,42.0,High_Protein
ostrich leg cooked,120.0,1.6,0.6,0.6,0.3,0.0,0.0,24.7,0.0,62.1,0.016,59.5,0.0,0.2,0.074,0.023,0.3,6.2,1.1,0.5,0.0,0.0,0.2,0.0,5.1,0.1,2.7,21.3,0.035,207.4,299.2,0.05,4.0,34.1,93.92,6.08,0.0,1.2,47.8,High_Protein
ostrich top loin cooked,132.0,3.3,1.1,1.1,0.3,0.0,0.0,23.9,0.0,79.1,0.029,57.8,0.1,0.0,0.2,0.082,0.062,0.2,6.0,1.1,0.5,0.0,0.0,0.2,0.046,5.1,0.1,2.8,21.3,0.075,208.3,300.1,0.017,27.982,87.87,12.13,0.0,1.32,44.5,High_Protein
ostrich strip cooked,139.0,3.6,1.5,1.5,0.6,0.0,0.0,25.0,0.0,82.5,0.034,56.6,0.0,0.2,0.012,0.081,0.3,6.3,1.2,0.5,0.0,0.0,0.2,0.0,4.3,0.1,4.1,22.1,0.013,215.1,311.1,0.018,4.2,37.0,87.41,12.59,0.0,1.39,46.4,High_Protein
ostrich tip raw,97.0,2.0,0.7,0.7,0.4,0.0,0.0,18.6,0.0,61.2,0.041,64.7,0.0,0.2,0.099,0.017,0.2,4.0,1.0,0.4,0.0,0.0,0.2,0.0,4.3,0.1,2.4,18.7,0.034,181.1,263.5,0.033,3.2,27.3,90.29,9.71,0.0,0.97,35.2,High_Protein
ostrich round raw,99.0,2.0,0.7,0.7,0.4,0.0,0.0,18.7,0.0,60.4,0.074,64.3,0.0,0.2,0.087,0.012,0.2,4.0,1.0,0.4,0.0,0.0,0.2,0.0,4.3,0.1,3.0,18.7,0.018,183.6,267.8,0.073,3.2,28.0,90.34,9.66,0.0,0.99,35.4,High_Protein
ground bison raw,124.0,6.1,2.5,2.3,0.3,0.099,0.0,17.2,0.0,46.8,0.042,60.9,0.0,0.1,0.02,0.008,0.2,4.5,0.0,0.3,0.0,0.0,0.2,0.023,9.4,0.1,2.4,17.9,0.0,164.9,278.8,0.014,3.9,35.102,73.51,26.07,0.42,1.24,28.3,High_Protein
ostrich fan raw,99.0,2.3,0.8,0.8,0.4,0.0,0.0,18.5,0.0,62.1,0.04,64.5,0.0,0.2,0.045,0.09,0.2,4.0,1.0,0.4,0.0,0.0,0.2,0.0,5.1,0.1,3.7,18.7,0.018,179.4,261.8,0.003,3.2,29.6,88.94,11.06,0.0,0.99,34.7,High_Protein
ostrich top loin raw,101.0,2.5,1.0,0.9,0.5,0.0,0.0,18.4,0.0,63.8,0.073,64.0,0.0,0.2,0.042,0.032,0.2,4.0,1.0,0.4,0.0,0.0,0.2,0.0,5.1,0.1,2.7,18.7,0.082,181.9,265.2,0.099,3.2,28.7,88.04,11.96,0.0,1.01,34.3,High_Protein
turkey liver cooked,100.0,4.3,1.2,0.6,1.1,0.0,0.0,14.3,0.0,343.4,0.083,33.9,5.7,0.1,0.4,0.096,1.4,5.9,2.3,0.5,12.0,0.0,0.083,0.068,10.1,0.6,0.9,13.8,0.2,165.4,81.1,0.022,2.4,47.3,76.88,23.12,0.0,1.0,24.3,High_Protein
chicken gizzard cooked,223.0,3.9,1.0,0.8,0.5,0.0,0.0,44.1,0.0,536.5,0.069,98.5,0.0,0.094,0.074,0.095,0.3,4.5,0.7,0.1,0.0,0.0,0.3,0.0,24.7,0.2,4.6,4.4,0.1,274.1,259.6,0.047,6.4,77.3,91.87,8.13,0.0,2.23,84.3,High_Protein
chicken heart cooked,268.0,11.5,3.3,2.9,3.3,0.1,0.0,38.3,0.0,350.9,0.081,94.0,0.033,0.1,0.1,0.034,1.1,4.1,3.8,0.5,2.6,0.0,0.0,0.0,27.6,0.7,13.1,29.0,0.2,288.6,191.4,0.027,10.6,93.286,76.75,23.05,0.2,2.68,65.1,High_Protein
chicken liver cooked,76.0,2.8,0.9,0.6,0.6,0.5,0.0,11.3,0.0,248.2,0.079,28.7,0.006,1.9,0.1,0.2,0.015,1.0,6.1,3.7,0.4,1.2,0.0,0.3,0.0,4.4,0.2,5.7,11.9,0.2,194.5,138.6,0.052,15.238,77.4,19.18,3.42,0.76,19.8,High_Protein
turkey gizzard cooked,70.0,2.1,0.5,0.4,0.3,0.0,0.0,11.9,0.0,203.4,0.031,31.1,0.091,0.03,0.045,0.067,0.2,2.9,0.2,0.027,2.8,0.0,0.025,0.0,7.7,0.1,1.7,9.5,0.063,84.2,86.9,0.033,1.8,26.231,85.0,15.0,0.0,0.7,21.7,High_Protein
beef liver cooked,130.0,3.6,1.2,0.4,0.4,3.5,0.0,19.8,0.0,269.3,0.068,40.0,0.2,6.4,0.1,0.2,0.01,2.3,11.9,4.8,0.7,1.3,0.034,0.3,0.07,4.1,9.7,4.4,14.3,0.2,338.0,239.4,0.023,37.539,73.61,13.38,13.01,1.3,36.0,High_Protein
